Year,Year over year inflation,Dollar value vs 1969 dollars,2018 Dollars
1969,0.06,1,7.17
1970,0.06,0.94,6.76
1971,0.03,0.91,6.38
1972,0.03,0.88,6.19
1973,0.09,0.81,6.01
1974,0.12,0.71,5.52
1975,0.07,0.66,4.93
1976,0.05,0.63,4.60
1977,0.07,0.58,4.39
1978,0.09,0.53,4.10
1979,0.13,0.46,3.76
1980,0.13,0.4,3.33
1981,0.09,0.37,2.94
1982,0.04,0.35,2.70
1983,0.04,0.34,2.60
1984,0.04,0.33,2.50
1985,0.04,0.31,2.40
1986,0.01,0.31,2.31
1987,0.04,0.3,2.29
1988,0.04,0.28,2.20
1989,0.05,0.27,2.11
1990,0.06,0.25,2.01
1991,0.03,0.25,1.90
1992,0.03,0.24,1.84
1993,0.03,0.23,1.79
1994,0.03,0.23,1.74
1995,0.03,0.22,1.69
1996,0.03,0.21,1.64
1997,0.02,0.21,1.59
1998,0.02,0.21,1.56
1999,0.03,0.2,1.53
2000,0.03,0.19,1.48
2001,0.02,0.19,1.44
2002,0.02,0.19,1.41
2003,0.02,0.18,1.39
2004,0.03,0.18,1.36
2005,0.03,0.17,1.32
2006,0.03,0.17,1.28
2007,0.04,0.16,1.24
2008,0,0.16,1.19
2009,0.03,0.16,1.19
2010,0.02,0.15,1.16
2011,0.03,0.15,1.14
2012,0.02,0.15,1.10
2013,0.02,0.14,1.08
2014,0.01,0.14,1.06
2015,0.01,0.14,1.05
2016,0.02,0.14,1.04
2017,0.02,0.14,1.02
2018,0.02,0.13,1.00
