Year,Average population,Live births,Deaths,Natural change,"Crude birth rate (per 1,000)","Crude death rate (per 1,000)","Natural change (per 1,000)",Total fertility rate,Labor Force,Labor Force Percentage
1969,201385000,3600206,1921990,1678216,17.9,9.5,8.4,2.47,79523000,0.394880453
1970,203984000,3731386,1921031,1810355,18.4,9.4,9,2.48,81981000,0.401899169
1971,206827000,3555970,1927542,1628428,17.2,9.3,7.9,2.27,83850000,0.405411286
1972,209284000,3258411,1963944,1294467,15.6,9.4,6.2,2.01,85978000,0.410819747
1973,211357000,3136965,1973003,1163962,14.8,9.5,5.3,1.88,87487000,0.413929986
1974,213342000,3159958,1934388,1225570,14.8,9.1,5.7,1.84,91199000,0.427477946
1975,215465000,3144198,1892879,1251319,14.6,8.8,5.8,1.77,93128000,0.43221869
1976,217563000,3167788,1909440,1258348,14.6,8.8,5.8,1.74,94934000,0.436351769
1977,219760000,3326632,1899597,1427035,15.1,8.6,6.5,1.79,97208000,0.442337095
1978,222095000,3333279,1927788,1405491,15,8.7,6.3,1.76,100873000,0.454188523
1979,224567000,3494398,1913841,1580557,15.6,8.5,7.1,1.81,104057000,0.46336728
1980,227225000,3612258,1989841,1622417,15.9,8.8,7.1,1.84,106562000,0.468971284
1981,229466000,3629238,1977981,1651257,15.8,8.6,7.2,1.81,108026000,0.470771269
1982,231664000,3680537,1974797,1705740,15.9,8.5,7.4,1.83,109089000,0.47089319
1983,233792000,3638933,2019201,1619732,15.6,8.6,6.9,1.8,110695000,0.473476423
1984,235825000,3669141,2039369,1629772,15.6,8.6,6.9,1.81,112209000,0.475814693
1985,237924000,3760561,2086440,1674121,15.8,8.8,7,1.84,114725000,0.482191792
1986,240133000,3756547,2105361,1651186,15.6,8.8,6.9,1.84,116682000,0.485905727
1987,242289000,3809394,2123323,1686071,15.7,8.8,7,1.87,118845000,0.490509268
1988,244499000,3909510,2167999,1741511,16,8.9,7.1,1.93,120969000,0.49476276
1989,246819000,4040958,2150466,1890492,16.4,8.7,7.7,2.01,123390000,0.499920995
1990,249623000,4158212,2148463,2009749,16.7,8.6,8.1,2.08,125833000,0.504092171
1991,252981000,4110907,2169518,1941389,16.2,8.6,7.7,2.06,125955000,0.49788324
1992,256514000,4065014,2175613,1889401,15.8,8.5,7.4,2.05,127261000,0.496117171
1993,259919000,4000240,2268553,1731687,15.4,8.7,6.7,2.02,128400000,0.494000054
1994,263126000,3952767,2278994,1673773,15,8.7,6.4,2,130596000,0.496324955
1995,266278000,3899589,2312132,1587457,14.6,8.7,6,1.98,132038000,0.495865224
1996,269394000,3891494,2314690,1576804,14.4,8.6,5.9,1.98,132616000,0.492275255
1997,272647000,3880894,2314245,1566649,14.2,8.5,5.7,1.97,135456000,0.49681823
1998,275854000,3941553,2337256,1604297,14.3,8.5,5.8,2,137095000,0.496983912
1999,279040000,3959417,2391399,1568018,14.2,8.6,5.6,2.01,139003000,0.498147219
2000,282172000,4058814,2403351,1655463,14.4,8.5,5.9,2.06,142267000,0.50418539
2001,285082000,4025933,2416425,1609508,14.1,8.5,5.6,2.03,143800000,0.504416273
2002,287804000,4021726,2443387,1578339,14,8.5,5.5,2.02,143883000,0.499933983
2003,290326000,4089950,2448288,1641662,14.1,8.4,5.5,2.05,145937000,0.502665969
2004,293046000,4112052,2397615,1714437,14,8.2,5.9,2.05,146842000,0.501088566
2005,295753000,4138349,2448017,1690332,14,8.3,5.7,2.06,148029000,0.500515633
2006,298593000,4265555,2426264,1839291,14.3,8.1,6.2,2.11,150214000,0.503072745
2007,301580000,4316234,2423712,1892522,14.3,8,6.3,2.12,153144000,0.507805557
2008,304375000,4247694,2471984,1775710,14,8.1,5.9,2.07,154063000,0.506161807
2009,307007000,4130665,2437163,1693502,13.5,7.9,5.6,2,154210000,0.50230125
2010,309330000,3999386,2468435,1530951,13,8,5,1.93,153484000,0.496182071
2011,311583000,3953590,2515458,1438412,12.7,8.1,4.6,1.89,153263000,0.491884987
2012,313874000,3952841,2543279,1409562,12.6,8.1,4.5,1.88,154381000,0.491856605
2013,316129000,3932181,2596993,1336183,12.4,8.2,4.2,1.86,155763000,0.492719744
2014,319113000,3988076,2626418,1361658,12.5,8.2,4.3,1.86,155352000,0.486824416
2015,321442000,3978497,2712630,1265867,12.4,8.4,4,1.84,157053000,0.488588921
2016,323100000,3945875,2744248,1201627,12.2,8.5,3.7,1.82,158371000,0.490160941
2017,325719000,3967938.8,2791313.8,1169123.6,12.2,8.44,3.29,1.79,159693000,0.49027843
2018,328161857.1,3970632.74,2839354.6,1120505,12.13,8.49,3.01,1.77,161123000,0.490986373
